country,year,suicides_no,hdi,gdp_per_capita ($)
Israel,1992,380,0.807,16469
Israel,1993,371,0.812,16102
Israel,1994,414,0.818,17814
Israel,1995,359,0.823,20159
Israel,1996,306,0.828,21545
Israel,1997,379,0.835,21921
Israel,1998,317,0.843,21637
Israel,1999,368,0.85,21319
Israel,2000,394,0.853,23451
Israel,2001,397,0.857,22623
Israel,2002,382,0.865,20536
Israel,2003,417,0.865,21133
Israel,2004,410,0.868,22168
Israel,2005,424,0.872,22901
Israel,2006,367,0.872,24306
Israel,2007,326,0.881,27712
Israel,2008,352,0.88,32874
Israel,2009,403,0.882,30812
Israel,2010,478,0.887,34104
Israel,2011,409,0.892,37528
Israel,2012,430,0.893,36263
Israel,2013,372,0.895,40477
Israel,2014,381,0.899,41869
Israel,2015,341,0.901,39793
Italy,1985,4754,0.738,8329
Italy,1990,4396,0.769,21472
Italy,1991,4451,0.774,22805
Italy,1992,4540,0.78,24297
Italy,1993,4687,0.786,19605
Italy,1994,4526,0.794,20235
Italy,1995,4568,0.8,21625
Italy,1996,4683,0.806,24172
Italy,1997,4689,0.814,22869
Italy,1998,4503,0.819,23342
Italy,1999,4112,0.824,23002
Italy,2000,4106,0.83,21027
Italy,2001,4027,0.837,21392
Italy,2002,4064,0.842,23227
Italy,2003,4071,0.847,28572
Italy,2004,3983,0.852,32704
Italy,2005,3740,0.857,33536
Italy,2006,3700,0.862,34578
Italy,2007,3753,0.866,38935
Italy,2008,3902,0.868,41935
Italy,2009,3972,0.868,38101
Italy,2010,3988,0.87,36869
Italy,2011,4151,0.875,40210
Italy,2012,4253,0.874,36497
Italy,2013,4286,0.876,37050
Italy,2014,4142,0.874,37035
Italy,2015,3982,0.876,31537
Jamaica,1985,8,0.65,1032
Jamaica,1990,3,0.638,2155
Jamaica,1991,1,0.639,1889
Jamaica,2000,3,0.662,3795
Jamaica,2001,5,0.673,3838
Jamaica,2002,2,0.677,4013
Jamaica,2003,2,0.673,3852
Jamaica,2004,1,0.691,4119
Jamaica,2005,51,0.695,4505
Jamaica,2006,0,0.7,4738
Jamaica,2009,36,0.709,4686
Jamaica,2010,3,0.712,5100
Jamaica,2011,50,0.715,5552
Japan,1985,23231,0.791,12401
Japan,1990,19985,0.816,26949
Japan,1991,19766,0.821,30688
Japan,1992,20724,0.824,33320
Japan,1993,20335,0.829,37832
Japan,1994,20723,0.835,41563
Japan,1995,21226,0.84,46043
Japan,1996,21944,0.845,40693
Japan,1997,23261,0.848,37080
Japan,1998,31430,0.847,33791
Japan,1999,31086,0.85,38164
Japan,2000,29973,0.855,40813
Japan,2001,29110,0.859,35843
Japan,2002,29703,0.862,34239
Japan,2003,31849,0.865,36926
Japan,2004,30012,0.869,39960
Japan,2005,30353,0.873,39412
Japan,2006,29749,0.877,37534
Japan,2007,30649,0.88,37408
Japan,2008,30055,0.881,41773
Japan,2009,30502,0.88,43415
Japan,2010,29390,0.885,47059
Japan,2011,28744,0.89,50919
Japan,2012,26318,0.895,51379
Japan,2013,25957,0.899,42781
Japan,2014,24323,0.903,40328
Japan,2015,23064,0.905,36510
Kazakhstan,1990,3165,0.69,1823
Kazakhstan,1991,3071,0.684,1664
Kazakhstan,1993,3999,0.675,1527
Kazakhstan,1994,4008,0.667,1395
Kazakhstan,1995,4691,0.664,1359
Kazakhstan,1996,4763,0.666,1452
Kazakhstan,1997,4626,0.669,1540
Kazakhstan,1998,4302,0.672,1599
Kazakhstan,1999,3981,0.676,1225
Kazakhstan,2000,4410,0.685,1328
Kazakhstan,2001,4356,0.7,1608
Kazakhstan,2002,4220,0.713,1788
Kazakhstan,2003,4305,0.725,2232
Kazakhstan,2004,4380,0.737,3110
Kazakhstan,2005,3879,0.747,4096
Kazakhstan,2006,4052,0.754,5770
Kazakhstan,2007,4111,0.759,7423
Kazakhstan,2008,3978,0.759,9387
Kazakhstan,2009,3812,0.763,8024
Kazakhstan,2010,3584,0.765,10062
Kazakhstan,2011,3380,0.772,12969
Kazakhstan,2012,3233,0.781,13845
Kazakhstan,2013,3485,0.788,15552
Kazakhstan,2014,3101,0.793,14351
Kazakhstan,2015,2859,0.797,11784
Kiribati,2000,0,0.552,928
Kiribati,2001,0,0.567,854
Kuwait,1985,17,0.732,14607
Kuwait,1993,18,0.695,18798
Kuwait,1994,30,0.721,17161
Kuwait,1995,26,0.747,17995
Kuwait,1996,30,0.772,20076
Kuwait,1997,33,0.775,18766
Kuwait,1998,35,0.781,14209
Kuwait,1999,46,0.786,15864
Kuwait,2000,34,0.786,19112
Kuwait,2001,30,0.786,17116
Kuwait,2002,45,0.788,17668
Kuwait,2003,44,0.791,24544
Kuwait,2004,45,0.789,29778
Kuwait,2005,52,0.783,39166
Kuwait,2006,45,0.788,46890
Kuwait,2007,51,0.788,37283
Kuwait,2008,47,0.789,43746
Kuwait,2009,61,0.79,33453
Kuwait,2010,39,0.792,35171
Kuwait,2011,41,0.794,46203
Kuwait,2012,56,0.796,49781
Kuwait,2013,41,0.795,48729
Kuwait,2014,68,0.799,43774
Kyrgyzstan,1990,543,0.618,715
Kyrgyzstan,1991,540,0.611,677
Kyrgyzstan,1992,487,0.601,603
Kyrgyzstan,1993,560,0.588,528
Kyrgyzstan,1994,576,0.569,437
Kyrgyzstan,1995,602,0.563,425
Kyrgyzstan,1996,477,0.568,459
Kyrgyzstan,1997,495,0.576,435
Kyrgyzstan,1998,506,0.58,398
Kyrgyzstan,1999,554,0.587,291
Kyrgyzstan,2000,508,0.594,313
Kyrgyzstan,2001,558,0.602,345
Kyrgyzstan,2002,565,0.604,359
Kyrgyzstan,2003,477,0.611,424
Kyrgyzstan,2004,433,0.615,484
Kyrgyzstan,2005,464,0.616,533
Kyrgyzstan,2006,458,0.621,610
Kyrgyzstan,2007,472,0.628,814
Kyrgyzstan,2008,473,0.631,1096
Kyrgyzstan,2009,454,0.636,977
Kyrgyzstan,2010,496,0.636,991
Kyrgyzstan,2011,466,0.639,1273
Kyrgyzstan,2012,521,0.649,1339
Kyrgyzstan,2013,435,0.658,1463
Kyrgyzstan,2014,453,0.663,1465
Kyrgyzstan,2015,410,0.666,1285
Latvia,1995,1023,0.673,2438
Latvia,1996,922,0.68,2526
Latvia,1997,884,0.692,2771
Latvia,1998,838,0.705,3061
Latvia,1999,763,0.716,3228
Latvia,2000,769,0.728,3494
Latvia,2001,708,0.745,3724
Latvia,2002,670,0.76,4311
Latvia,2003,603,0.774,5364
Latvia,2004,563,0.788,6644
Latvia,2005,563,0.802,7916
Latvia,2006,487,0.809,10139
Latvia,2007,452,0.818,14758
Latvia,2008,526,0.821,17217
Latvia,2009,516,0.818,12890
Latvia,2010,438,0.816,11951
Latvia,2011,440,0.821,14447
Latvia,2012,444,0.824,14558
Latvia,2013,383,0.833,15820
Latvia,2014,382,0.838,16544
Latvia,2015,387,0.841,14382
Lithuania,1995,1692,0.703,2324
Lithuania,1996,1721,0.712,2484
Lithuania,1997,1629,0.724,3008
Lithuania,1998,1552,0.736,3354
Lithuania,1999,1549,0.744,3292
Lithuania,2000,1631,0.756,3481
Lithuania,2001,1532,0.768,3719
Lithuania,2002,1550,0.779,4360
Lithuania,2003,1453,0.791,5778
Lithuania,2004,1379,0.798,7028
Lithuania,2005,1318,0.809,8229
Lithuania,2006,1048,0.817,9667
Lithuania,2007,1021,0.825,12869
Lithuania,2008,1111,0.831,15669
Lithuania,2009,1136,0.822,12412
Lithuania,2010,1017,0.824,12584
Lithuania,2011,1017,0.828,15097
Lithuania,2012,927,0.831,15099
Lithuania,2013,1083,0.836,16538
Lithuania,2014,928,0.851,17442
Lithuania,2015,894,0.852,15073
Lithuania,2016,816,0.855,15742
Luxembourg,1985,55,0.752,13743
Luxembourg,1990,68,0.782,36871
Luxembourg,1991,77,0.79,39465
Luxembourg,1992,59,0.795,43740
Luxembourg,1993,64,0.799,44320
Luxembourg,1994,74,0.803,48610
Luxembourg,1995,63,0.808,56499
Luxembourg,1996,72,0.817,56169
Luxembourg,1997,81,0.826,50260
Luxembourg,1998,64,0.834,50788
Luxembourg,1999,70,0.849,55054
Luxembourg,2000,62,0.855,51841
Luxembourg,2001,73,0.861,51391
Luxembourg,2002,85,0.863,56484
Luxembourg,2003,48,0.864,69768
Luxembourg,2004,62,0.872,80639
Luxembourg,2005,49,0.878,85397
Luxembourg,2006,65,0.881,95351
Luxembourg,2007,78,0.888,112581
Luxembourg,2008,43,0.89,121315
Luxembourg,2009,48,0.883,109483
Luxembourg,2010,54,0.889,111328
Luxembourg,2011,55,0.892,122729
Luxembourg,2012,51,0.892,113120
Luxembourg,2013,40,0.892,120423
Luxembourg,2014,67,0.895,126352
Luxembourg,2015,64,0.899,107456
Maldives,2000,0,0.606,2524
Maldives,2001,3,0.61,3406
Maldives,2002,3,0.615,3401
Maldives,2003,4,0.63,3867
Maldives,2004,1,0.635,4373
Maldives,2005,1,0.631,4026
Maldives,2007,5,0.651,6115
Maldives,2008,0,0.66,7236
Maldives,2010,1,0.671,7806
Maldives,2011,2,0.682,8135
Malta,1985,2,0.713,3639
Malta,1990,8,0.74,7780
Malta,1991,10,0.745,8313
Malta,1992,18,0.749,9040
Malta,1993,16,0.753,8022
Malta,1994,15,0.756,8775
Malta,1995,17,0.759,9974
Malta,1996,10,0.763,10254
Malta,1997,15,0.768,10575
Malta,1998,12,0.776,11103
Malta,1999,27,0.78,11607
Malta,2000,23,0.783,11873
Malta,2001,30,0.788,11691
Malta,2002,19,0.792,12524
Malta,2003,20,0.8,14444
Malta,2004,24,0.809,15916
Malta,2005,19,0.824,16648
Malta,2006,26,0.822,17504
Malta,2007,26,0.827,20333
Malta,2008,14,0.829,23007
Malta,2009,36,0.83,21695
Malta,2010,31,0.843,22132
Malta,2011,20,0.843,23984
Malta,2012,25,0.849,23074
Malta,2013,22,0.856,25191
Malta,2014,32,0.862,27634
Malta,2015,34,0.871,25750
Mauritius,1985,104,0.575,1223
Mauritius,1990,147,0.619,2820
Mauritius,1991,137,0.626,3045
Mauritius,1992,145,0.633,3400
Mauritius,1993,138,0.638,3405
Mauritius,1994,129,0.643,3658
Mauritius,1995,146,0.648,4115
Mauritius,1996,153,0.652,4444
Mauritius,1997,122,0.656,4139
Mauritius,1998,155,0.662,4063
Mauritius,1999,174,0.667,4117
Mauritius,2000,137,0.673,4339
Mauritius,2001,112,0.682,4244
Mauritius,2002,131,0.687,4415
Mauritius,2003,88,0.695,5136
Mauritius,2004,97,0.704,5789
Mauritius,2005,102,0.713,5641
Mauritius,2006,118,0.72,6246
Mauritius,2007,127,0.728,7179
Mauritius,2008,84,0.734,8716
Mauritius,2009,114,0.741,7873
Mauritius,2010,98,0.749,8587
Mauritius,2011,118,0.758,9817
Mauritius,2012,114,0.767,9884
Mauritius,2013,98,0.772,10572
Mauritius,2014,120,0.782,11120
Mauritius,2015,104,0.782,10125
Mauritius,2016,98,0.788,10570
Mexico,1985,1524,0.634,2730
Mexico,1990,1916,0.65,3595
Mexico,1991,2085,0.654,4204
Mexico,1992,2216,0.658,4830
Mexico,1993,2322,0.663,6518
Mexico,1994,2562,0.67,6735
Mexico,1995,2850,0.669,4505
Mexico,1996,2979,0.677,4904
Mexico,1997,3320,0.683,5864
Mexico,1998,3276,0.69,6064
Mexico,1999,3287,0.695,6800
Mexico,2000,3413,0.702,7892
Mexico,2001,3699,0.705,8311
Mexico,2002,3763,0.71,8357
Mexico,2003,4018,0.717,7779
Mexico,2004,4006,0.724,8217
Mexico,2005,4217,0.728,9071
Mexico,2006,4169,0.736,9906
Mexico,2007,4232,0.739,10496
Mexico,2008,4569,0.742,10864
Mexico,2009,5017,0.743,8651
Mexico,2010,4851,0.743,9991
Mexico,2011,5552,0.751,10965
Mexico,2012,5373,0.757,10982
Mexico,2013,5645,0.756,11478
Mexico,2014,6170,0.761,11663
Mexico,2015,6223,0.767,10228
Mongolia,2016,422,0.743,4145
Montenegro,2003,0,0.741,2946
Montenegro,2004,0,0.748,3565
Montenegro,2005,118,0.753,3870
Montenegro,2006,0,0.764,4654
Montenegro,2007,121,0.775,6268
Montenegro,2008,126,0.786,7705
Montenegro,2009,107,0.788,7023
Netherlands,1985,1636,0.799,10428
Netherlands,1990,1448,0.829,22425
Netherlands,1991,1611,0.834,22906
Netherlands,1992,1586,0.835,25205
Netherlands,1993,1553,0.839,24385
Netherlands,1994,1583,0.864,25997
Netherlands,1995,1510,0.861,30850
Netherlands,1996,1576,0.866,30625
Netherlands,1997,1572,0.865,28156
Netherlands,1998,1516,0.867,29351
Netherlands,1999,1514,0.87,29799
Netherlands,2000,1501,0.876,27644
Netherlands,2001,1473,0.879,28366
Netherlands,2002,1568,0.878,30757
Netherlands,2003,1501,0.883,37614
Netherlands,2004,1512,0.886,42614
Netherlands,2005,1572,0.891,44289
Netherlands,2006,1524,0.897,47281
Netherlands,2007,1350,0.904,54418
Netherlands,2008,1439,0.906,60375
Netherlands,2009,1528,0.906,54988
Netherlands,2010,1603,0.91,53302
Netherlands,2011,1649,0.921,56667
Netherlands,2012,1754,0.921,52334
Netherlands,2013,1853,0.923,54510
Netherlands,2014,1838,0.924,55325
Netherlands,2015,1872,0.926,47206
Netherlands,2016,1851,0.928,48108
New Zealand,1985,336,0.805,8246
New Zealand,1990,455,0.818,14734
New Zealand,1991,474,0.82,13345
New Zealand,1992,492,0.825,12868
New Zealand,1993,442,0.836,14271
New Zealand,1994,510,0.845,16615
New Zealand,1995,543,0.851,18945
New Zealand,1996,537,0.854,20434
New Zealand,1997,559,0.86,19041
New Zealand,1998,570,0.863,16052
New Zealand,1999,513,0.865,16556
New Zealand,2000,457,0.869,14725
New Zealand,2001,507,0.873,14968
New Zealand,2002,467,0.881,18208
New Zealand,2003,518,0.884,23663
New Zealand,2004,493,0.886,27325
New Zealand,2005,514,0.888,29803
New Zealand,2006,525,0.891,28628
New Zealand,2007,493,0.894,34892
New Zealand,2008,518,0.894,33585
New Zealand,2009,508,0.898,30259
New Zealand,2010,533,0.899,36145
New Zealand,2011,490,0.902,41184
New Zealand,2012,544,0.905,42756
New Zealand,2013,513,0.907,46198
Nicaragua,2010,351,0.621,1715
Nicaragua,2011,369,0.627,1888
Nicaragua,2012,310,0.633,2006
Nicaragua,2013,351,0.639,2062
Nicaragua,2014,308,0.649,2199
Nicaragua,2015,315,0.652,2303
Norway,1990,659,0.85,30240
Norway,1991,674,0.856,30678
Norway,1992,615,0.862,32793
Norway,1993,588,0.87,30066
Norway,1994,529,0.885,31520
Norway,1995,546,0.883,37483
Norway,1996,514,0.888,40098
Norway,1997,533,0.894,39335
Norway,1998,548,0.906,37334
Norway,1999,582,0.911,39013
Norway,2000,541,0.917,41099
Norway,2001,549,0.916,41281
Norway,2002,494,0.918,46049
Norway,2003,499,0.924,53533
Norway,2004,529,0.934,61450
Norway,2005,532,0.932,71215
Norway,2006,532,0.936,79007
Norway,2007,485,0.938,90797
Norway,2008,505,0.938,103431
Norway,2009,572,0.938,85394
Norway,2010,548,0.942,93638
Norway,2011,595,0.943,107430
Norway,2012,514,0.942,108408
Norway,2013,554,0.946,109804
Norway,2014,547,0.946,103443
Norway,2015,588,0.948,79187
Oman,2009,13,0.789,18557
Oman,2010,13,0.793,21337
Oman,2014,7,0.815,22328
Panama,1985,56,0.648,3443
Panama,1996,113,0.694,3992
Panama,1997,145,0.7,4227
Panama,1998,148,0.708,4488
Panama,1999,142,0.713,4606
Panama,2000,143,0.719,4577
Panama,2001,162,0.722,4558
Panama,2002,158,0.728,4641
Panama,2003,195,0.73,4790
Panama,2004,186,0.735,5144
Panama,2005,172,0.739,5499
Panama,2006,185,0.744,5972
Panama,2007,171,0.751,6876
Panama,2008,184,0.755,7972
Panama,2009,177,0.756,8436
Panama,2010,151,0.758,8991
Panama,2011,144,0.764,10403
Panama,2012,135,0.771,11908
Panama,2013,130,0.776,13189
Panama,2014,146,0.781,14181
Panama,2015,110,0.781,15158
Paraguay,1985,63,0.564,964
Paraguay,1990,99,0.58,1600
Paraguay,1991,75,0.585,1907
Paraguay,1994,106,0.6,1981
Paraguay,1995,118,0.606,2223
Paraguay,1996,99,0.613,2341
Paraguay,1997,126,0.618,2326
Paraguay,1998,138,0.622,2057
Paraguay,1999,161,0.625,1868
Paraguay,2000,152,0.624,1782
Paraguay,2001,148,0.632,1630
Paraguay,2002,177,0.642,1315
Paraguay,2003,174,0.64,1339
Paraguay,2004,228,0.646,1598
Paraguay,2005,239,0.649,1704
Paraguay,2006,251,0.649,2038
Paraguay,2007,227,0.655,2599
Paraguay,2008,220,0.664,3438
Paraguay,2009,283,0.659,2920
Paraguay,2010,221,0.675,3619
Paraguay,2011,298,0.68,4474
Paraguay,2012,268,0.68,4319
Paraguay,2013,315,0.695,5006
Paraguay,2014,379,0.698,5254
Philippines,1992,347,0.589,958
Philippines,1993,846,0.591,957
Philippines,1997,808,0.611,1312
Philippines,1998,873,0.615,1124
Philippines,1999,1036,0.62,1262
Philippines,2000,1389,0.624,1205
Philippines,2001,1196,0.628,1109
Philippines,2002,1286,0.633,1158
Philippines,2003,1530,0.637,1169
Philippines,2006,1760,0.651,1599
Philippines,2007,1685,0.657,1915
Philippines,2008,1798,0.661,2188
Philippines,2009,2058,0.659,2073
Philippines,2010,2099,0.665,2412
Philippines,2011,2420,0.67,2662
Poland,1990,4963,0.712,1876
Poland,1991,5308,0.711,2416
Poland,1992,5710,0.714,2650
Poland,1993,5618,0.725,2683
Poland,1994,5514,0.734,3081
Poland,1995,5493,0.74,3937
Poland,1996,5434,0.748,4413
Poland,1999,5775,0.778,4640
Poland,2000,5832,0.785,4744
Poland,2001,5852,0.791,5249
Poland,2002,5915,0.799,5466
Poland,2003,5831,0.804,5983
Poland,2004,6062,0.802,7014
Poland,2005,6038,0.808,8417
Poland,2006,5792,0.814,9485
Poland,2007,5272,0.819,11816
Poland,2008,5674,0.824,14721
Poland,2009,6464,0.828,12141
Poland,2010,6351,0.835,13304
Poland,2011,6109,0.839,14686
Poland,2012,6364,0.836,13894
Poland,2013,6211,0.85,14552
Poland,2014,5930,0.842,15119
Poland,2015,5413,0.855,13228
Portugal,1985,979,0.676,2912
Portugal,1990,870,0.711,8356
Portugal,1991,941,0.72,9483
Portugal,1992,866,0.732,11445
Portugal,1993,779,0.745,10098
Portugal,1994,762,0.753,10566
Portugal,1995,808,0.76,12469
Portugal,1996,653,0.767,12887
Portugal,1997,627,0.773,12237
Portugal,1998,556,0.78,12892
Portugal,1999,544,0.779,13180
Portugal,2000,524,0.785,12152
Portugal,2001,760,0.79,12391
Portugal,2002,1208,0.792,13614
Portugal,2003,1156,0.796,16671
Portugal,2007,1020,0.81,24003
Portugal,2008,1038,0.814,26121
Portugal,2009,1025,0.817,24254
Portugal,2010,1098,0.822,23673
Portugal,2011,1017,0.826,24337
Portugal,2012,1076,0.829,21573
Portugal,2013,1052,0.837,22641
Portugal,2014,1222,0.839,23091
Qatar,1995,0,0.784,17559
Qatar,2001,23,0.811,32510
Qatar,2004,21,0.826,45517
Qatar,2005,17,0.831,55899
Qatar,2006,29,0.827,64762
Qatar,2007,41,0.83,71460
Qatar,2008,33,0.835,87961
Qatar,2009,44,0.833,64911
Qatar,2010,47,0.825,74055
Qatar,2011,50,0.836,90490
Qatar,2012,43,0.844,93270
Qatar,2013,37,0.854,93066
Qatar,2014,55,0.853,91587
Qatar,2015,66,0.854,69937
Qatar,2016,68,0.855,62484
South Korea,1985,3676,0.68,2731
South Korea,1990,3145,0.728,7056
South Korea,1991,3053,0.739,8145
South Korea,1992,3510,0.746,8671
South Korea,1993,4102,0.756,9479
South Korea,1994,4186,0.767,11073
South Korea,1995,4811,0.778,13217
South Korea,1996,5822,0.789,14071
South Korea,1997,5993,0.8,12978
South Korea,1998,8538,0.797,8624
South Korea,1999,7044,0.808,11074
South Korea,2000,6434,0.817,12686
South Korea,2001,6898,0.824,11922
South Korea,2002,8597,0.832,13501
South Korea,2003,10883,0.839,14971
South Korea,2004,11471,0.847,16708
South Korea,2005,11990,0.855,19460
South Korea,2006,10638,0.862,21753
South Korea,2007,12149,0.869,23982
South Korea,2008,12835,0.874,21278
South Korea,2009,15363,0.869,19036
South Korea,2010,15531,0.884,22994
South Korea,2011,15880,0.888,25157
South Korea,2012,14139,0.89,25464
South Korea,2013,14410,0.893,27060
South Korea,2014,13823,0.896,29120
South Korea,2015,13496,0.898,28410
Romania,1990,2076,0.701,1822
Romania,1991,2159,0.686,1351
Romania,1992,2646,0.678,1183
Romania,1993,2772,0.678,1237
Romania,1994,2882,0.681,1406
Romania,1995,2789,0.687,1756
Romania,1996,2826,0.695,1738
Romania,1997,2855,0.696,1677
Romania,1998,2838,0.698,1967
Romania,1999,2732,0.704,1698
Romania,2000,2830,0.709,1758
Romania,2001,2715,0.715,1914
Romania,2002,3056,0.724,2231
Romania,2003,2886,0.734,2898
Romania,2004,2717,0.746,3698
Romania,2005,2599,0.755,4847
Romania,2006,2720,0.767,6018
Romania,2007,2423,0.781,8593
Romania,2008,2465,0.795,10454
Romania,2009,2576,0.798,8465
Romania,2010,2761,0.797,8190
Romania,2011,2533,0.798,9086
Romania,2012,2490,0.795,9015
Romania,2013,2401,0.8,10080
Romania,2014,2206,0.802,10526
Romania,2015,2224,0.805,9431
Romania,2016,1939,0.807,10020
Russia,1990,38976,0.734,3789
Russia,1991,39216,0.729,3773
Russia,1992,45847,0.718,3333
Russia,1993,55753,0.71,3160
Russia,1994,61345,0.702,2853
Russia,1995,60470,0.7,2844
Russia,1996,57433,0.701,2813
Russia,1997,54670,0.704,2907
Russia,1998,51439,0.703,1948
Russia,1999,56876,0.709,1412
Russia,2000,56516,0.72,1879
Russia,2001,56844,0.727,2229
Russia,2002,54941,0.732,2527
Russia,2003,51366,0.74,3141
Russia,2004,49023,0.746,4312
Russia,2005,45733,0.752,5611
Russia,2006,42539,0.759,7313
Russia,2007,41080,0.767,9643
Russia,2008,38121,0.774,12359
Russia,2009,37330,0.771,9118
Russia,2010,33292,0.78,11307
Russia,2011,30971,0.789,15226
Russia,2012,29578,0.798,16413
Russia,2013,28636,0.804,17052
Russia,2014,26497,0.807,15319
Russia,2015,25375,0.813,9987
Saint Lucia,2000,14,0.69,5557
Saint Lucia,2001,7,0.687,5195
Saint Lucia,2002,12,0.689,5155
Saint Lucia,2003,10,0.692,5599
Saint Lucia,2004,8,0.695,5989
Saint Lucia,2005,4,0.7,6292
Saint Lucia,2006,2,0.711,7391
Saint Lucia,2008,0,0.719,8122
Saint Lucia,2009,13,0.724,7902
Saint Lucia,2010,4,0.731,8557
Saint Lucia,2011,8,0.734,8826
Saint Lucia,2012,10,0.73,8764
Saint Lucia,2013,14,0.733,9041
Saint Lucia,2014,14,0.737,9372
Saint Vincent and the Grenadines,2000,5,0.673,4087
Saint Vincent and the Grenadines,2001,8,0.677,4418
Saint Vincent and the Grenadines,2002,7,0.682,4723
Saint Vincent and the Grenadines,2003,4,0.689,4902
Saint Vincent and the Grenadines,2004,4,0.692,5286
Saint Vincent and the Grenadines,2005,8,0.697,5556
Saint Vincent and the Grenadines,2006,6,0.704,6142
Saint Vincent and the Grenadines,2007,11,0.709,6539
Saint Vincent and the Grenadines,2008,4,0.71,6966
Saint Vincent and the Grenadines,2009,1,0.713,6754
Saint Vincent and the Grenadines,2010,5,0.715,6809
Saint Vincent and the Grenadines,2011,5,0.717,6759
Saint Vincent and the Grenadines,2012,10,0.718,6918
Saint Vincent and the Grenadines,2013,0,0.721,7183
Saint Vincent and the Grenadines,2014,2,0.72,7203
Saint Vincent and the Grenadines,2015,3,0.72,7496
Serbia,1998,1459,0.708,2547
Serbia,1999,1568,0.704,2570
Serbia,2000,1539,0.711,915
Serbia,2001,1442,0.716,1718
Serbia,2002,1446,0.72,2258
Serbia,2003,1378,0.726,2979
Serbia,2004,1345,0.734,3508
Serbia,2005,1437,0.742,3719
Serbia,2006,1443,0.747,4353
Serbia,2007,1353,0.751,5748
Serbia,2008,1289,0.757,7049
Serbia,2009,1373,0.759,6116
Serbia,2010,1207,0.759,5682
Serbia,2011,1255,0.769,6734
Serbia,2012,1243,0.768,5933
Serbia,2013,1197,0.771,6662
Serbia,2014,1134,0.775,6500
Serbia,2015,1061,0.78,5492
Seychelles,2001,6,0.714,8257
Seychelles,2002,5,0.716,9070
Seychelles,2003,8,0.717,9001
Seychelles,2004,6,0.715,10526
Seychelles,2005,5,0.73,11361
Seychelles,2006,8,0.72,12442
Seychelles,2007,6,0.741,12554
Seychelles,2008,4,0.741,11667
Seychelles,2009,4,0.741,10157
Seychelles,2010,6,0.747,11563
Seychelles,2011,5,0.741,13204
Seychelles,2012,3,0.77,13044
Seychelles,2013,9,0.779,16090
Seychelles,2014,4,0.786,16018
Seychelles,2015,7,0.791,16005
Singapore,1990,353,0.718,14393
Singapore,1991,296,0.729,17768
Singapore,1992,276,0.74,20029
Singapore,1993,270,0.751,22835
Singapore,1994,315,0.763,27202
Singapore,1995,364,0.773,31783
Singapore,1996,238,0.782,34148
Singapore,1997,302,0.793,34779
Singapore,1998,328,0.798,29150
Singapore,1999,275,0.809,28789
Singapore,2000,308,0.819,31446
Singapore,2001,303,0.822,28774
Singapore,2002,321,0.83,29048
Singapore,2003,318,0.838,30067
Singapore,2004,334,0.845,34799
Singapore,2005,359,0.868,38122
Singapore,2006,371,0.871,43318
Singapore,2007,328,0.878,53098
Singapore,2008,319,0.883,55735
Singapore,2009,347,0.884,54413
Singapore,2010,296,0.909,66099
Singapore,2011,308,0.914,76638
Singapore,2012,391,0.92,80040
Singapore,2013,357,0.923,83151
Singapore,2014,354,0.928,84442
Singapore,2015,328,0.929,81766
Slovakia,1992,794,0.733,3143
Slovakia,1993,738,0.737,3334
Slovakia,1994,690,0.743,4036
Slovakia,1995,730,0.751,5141
Slovakia,1996,670,0.754,5529
Slovakia,1997,630,0.757,5468
Slovakia,1998,673,0.763,5871
Slovakia,1999,692,0.762,5966
Slovakia,2000,728,0.764,5696
Slovakia,2001,692,0.764,6020
Slovakia,2002,717,0.771,6869
Slovakia,2003,753,0.777,9138
Slovakia,2004,676,0.785,11177
Slovakia,2005,679,0.794,12229
Slovakia,2006,0,0.803,13763
Slovakia,2007,0,0.814,16815
Slovakia,2008,591,0.822,19530
Slovakia,2009,601,0.824,17299
Slovakia,2010,630,0.829,17387
Slovakia,2012,571,0.842,18256
Slovakia,2013,616,0.844,19226
Slovakia,2014,554,0.845,19679
Slovenia,1995,563,0.782,11291
Slovenia,1996,605,0.788,11346
Slovenia,1997,592,0.796,11014
Slovenia,1998,611,0.805,11767
Slovenia,1999,590,0.819,12041
Slovenia,2000,588,0.825,10783
Slovenia,2001,581,0.835,10979
Slovenia,2002,540,0.843,12362
Slovenia,2003,562,0.85,15568
Slovenia,2004,510,0.857,18067
Slovenia,2005,503,0.861,19012
Slovenia,2006,529,0.869,20634
Slovenia,2007,434,0.873,24964
Slovenia,2008,408,0.878,28599
Slovenia,2009,447,0.878,25872
Slovenia,2010,414,0.882,24689
Slovenia,2011,435,0.884,26377
Slovenia,2012,440,0.877,23820
Slovenia,2013,446,0.885,24697
Slovenia,2014,388,0.887,25569
Slovenia,2015,422,0.889,22036
South Africa,1996,143,0.647,3908
South Africa,1997,104,0.644,3960
South Africa,1998,178,0.639,3512
South Africa,1999,277,0.634,3424
South Africa,2000,266,0.63,3361
South Africa,2001,384,0.61,2953
South Africa,2002,235,0.617,2769
South Africa,2003,253,0.615,4132
South Africa,2004,380,0.613,5323
South Africa,2005,454,0.614,5914
South Africa,2006,507,0.616,6166
South Africa,2007,415,0.621,6708
South Africa,2008,438,0.633,6573
South Africa,2009,370,0.642,6517
South Africa,2010,391,0.649,8128
South Africa,2011,357,0.657,8906
South Africa,2012,480,0.664,8347
South Africa,2013,580,0.675,7612
South Africa,2014,577,0.685,7174
